Name,Address,Timing,Mobile.no,Latitude,Longitude
Decathlon Amritsar,"GT Bypass Road,Next to Khanna Paper Mills,Amritsar - 143001",Monday - Sunday 11:00AM - 09:00PM,+91 85589 99724,31.634229474233127,74.87879092085889
Decathlon Ferozepur Road ,"Opposite Park Plaza ,SRS Cinemas, Omaxe Plaza ,Bhai Bala Chowk Ludhiana",Monday - Sunday 11:00AM - 10:00PM,+91 85588 57258,,
Decathlon Zirakpur,"Khasra number 670,671,678,679 ,Village - Singhpura, Hadbast number 43,Chandigarh - Ambala Highway,Zirakpur, Punjab 140603",Monday - Sunday  10:00AM - 09:00PM,+91 85588 57227,30.648533241071426,76.81679264107143
Decathlon Dehradun ,"Plot No - 1591 ,Opposite DDPM Mahindra Showroom Haridwar Bypass,Village, Ajabpur Kalan, Dehradun ,Uttarakhand 248001",Monday - Sunday  10:00AM - 09:00PM,+91 95139 92355,30.33282606858108,78.0405485097973
Decathlon Faridabad,"Lower Ground Floor, EROS EF3 Mall,Sector 20 – A, Mathura Road, Faridabad,Haryana 121101",Monday - Sunday  11:00AM - 09:00PM,+91 80950 86222,28.349431,77.388283
"Decathlon Cyberhub,","Shop No. 5, Ground Floor,,Building No. 8B, Cybercity,,Gurugram, Haryana,,India 122002",Monday - Sunday 11:00AM - 10:00PM,+91 80889 00035,28.461143192771083,77.08929692289156
Decathlon Huda City Centre,"Huda City Centre Metro Station,Metro Park, Gurgaon, Haryana 122007 ,(First Floor Above Starbucks)",Monday - Sunday 11:30 to 9:30,+91 99998 69464,28.46916295,77.063661
Decathlon Sohna Road,"Omaxe Celebration Mall, Subhash Chowk,Sohna Road, Sector 48, Gurgaon,Haryana 122103",Monday - Sunday 11:00AM - 10:00PM,+91 98732 89635,28.19746575,77.0492973
Decathlon Dwarka,"Pinnacle Mall Plot No. 3,,Sector 10, Dwarka,,Delhi - 110075",Monday - Sunday  11:00AM - 10:00PM,+91 95135 90006,28.59298947202381,77.05925020714285
Decathlon CBD Shahdara,"Aggarwal Funcity Mall,Maharshi Valmiki Marg, Vishwas Nagar Extension,Vishwas Nagar, Shahdara,Delhi, 110032",Monday - Sunday  11:00AM - 10:00PM,+91 74063 09922,28.67563692352941,77.28546478529411
Decathlon Khel Gaon,"Ansal Plaza Mall, Khel Gaon,August Kranti Marg, HUDCO Place,Andrews Ganj Extension, New Delhi,Delhi 110049",Monday - Sunday 10:00AM - 09:00PM,+91 72910 52861,28.55952352916667,77.222082975
Decathlon Rohini,"The MetroWalk First Floor Block C ,Sector 10, Near Rithala Metro Station ,Rohini, Delhi – 110 085",Monday - Sunday  11:00AM - 10:00PM,+91 88841 81700,,
"Decathlon Jaipur Centre,","Ground Floor, Jaipur Center,,B-2 Byepass & Tonk Rd Junction,,Jaipur, Rajasthan,,India 302018",Monday - Sunday  10:00AM - 10:00PM,+91 84319 10066,26.85295615416667,75.79670915277778
Decathlon Gomti Nagar,"TC-G4, Railway Station Road,Vibhuti Khand, Gomti Nagar,Lucknow, Uttar Pradesh 226010",Monday - Sunday  10:00AM - 10:00PM,+91 73170 00591,26.85539569375,80.9969802796875
Decathlon Indirapuram,"Indrapuram Habitat Centre (IHC),First Floor, Plot No-16, Ahinsa Khand-1,,Indrapuram, Ghaziabad,,Uttar Pradesh - 201014",Monday - Sunday  11:00AM - 10:00PM,+91 98732 84742,28.640656722580648,77.36823753225806
"Decathlon Noida,","Unit No. A-401 & 402,,3rd Floor, Mall of India ,M 03, Sector 18, Noida, ,India - 201301",Monday - Sunday  10:00AM - 10:00PM,+91 96438 18135,28.599071286740333,77.335572360221
Decathlon Azara,"Circle Dakhin Rani, Assam Dag No. 656, ,Patta No. 140 Goalpara - Guwahati Road Near Rani Gate Vill-Kahikuchi,,Azara, Guwahati, Assam 781017",Monday - Sunday 08:00AM - 09:00PM,+91 80950 79700,26.135022725,91.62442619375
Decathlon CG Road,"Ground Floor CG Square Mall,,near Panchvati Cross Roads,,CG Road, Ahmedabad ,CG Road, Ahmedabad",Monday - Sunday 10:00AM - 10:00PM,+91 84319 10061,,
Decathlon Motera,"FP 38, TP 46 Motera,Next to McDonalds, Motera - Gandhinagar Road,Ahmedabad - 380005",Monday - Sunday 10:00AM - 10:00PM,+91 95383 77844,23.084259712121213,72.59272832727272
Decathlon Dumas Road,"Opposite Surat Airport,Surat - 394550, Gujarat.",Monday - Sunday  10:00AM - 10:00PM,+91 99251 33996,21.093892,72.707368
Decathlon Sevasi,"Opposite Kabir Farm ,Gotri-Sevasi Road, Vadodara - 391101",Monday - Sunday  10:00AM - 10:00PM,+91 95375 34777,22.316229,73.136259
Decathlon Applewoods ,"Next to Applewoods Township,Near Shantipura crossroads,Sardar Patel Ring Road - Ahmedabad ,India 380058",Monday - Sunday  10:00AM - 10:00PM,+91 97262 69792,23.02428099473684,72.46970026052631
Decathlon Indore,"opposite to DPS school,bypass road Indore - 452010",Monday - Sunday  10:00AM - 08:00PM,+91 95225 58391,22.75359085283019,75.89190508679246
Decathlon Salt Lake,"Street Number 17, EP Block, Sector V,Salt Lake City, Kolkata,West Bengal 700091",Monday - Sunday  10:00AM - 10:00PM,+91 95139 55580,22.576535620408162,88.43045333265306
Decathlon Howrah,"NH-6, Mouza Khalisani, J L No.96,P S Uluberia, District Howrah,Kolkata - 711307, West Bengal.","Monday - Friday 11:00AM - 07:00PM , Saturday - Sunday  11:00AM - 07:00PM",+91 88847 77004,22.5176482,88.131751
